#{"t_start": 1514340648.9094906, "gym_version": "0.9.3", "env_id": "ddrp_options-v0"}
r,l,t
1.0,2,23.173333
1.0,2,23.181623
1.0,2,23.188711
0,2,23.195876
2.0,3,23.268929
1.0,2,23.277017
2.0,3,23.290004
0,2,23.303138
0,2,23.311308
2.0,3,23.326477
3.0,4,23.347012
3.0,4,23.43657
2.0,3,23.447494
2.0,3,23.459662
1.0,2,23.469531
0,2,23.477722
0,2,23.487207
4.0,5,23.504661
1.0,2,23.586674
0,2,23.595023
0,2,23.603294
2.0,3,23.614357
0,2,23.621773
1.0,2,23.63002
1.0,2,23.639003
3.0,4,23.656647
3.0,4,23.733983
3.0,4,23.755433
1.0,2,23.767679
6.0,7,23.798049
1.0,2,23.806026
2.0,3,23.89127
1.0,2,23.897912
0,2,23.904211
1.0,2,23.911464
0,2,23.921139
0,2,23.929917
1.0,2,23.939168
0,2,23.947228
2.0,3,23.957322
1.0,2,23.964233
3.0,4,24.046748
1.0,2,24.054344
2.0,3,24.067431
0,2,24.076748
5.0,6,24.102501
0,2,24.112329
0,2,24.200412
0,2,24.208234
1.0,2,24.216455
3.0,4,24.231256
0,2,24.239751
3.0,4,24.262233
1.0,2,24.271211
2.0,3,24.287073
3.0,4,24.380262
1.0,2,24.390548
1.0,2,24.398274
1.0,2,24.405766
0,2,24.413186
1.0,2,24.42017
1.0,2,24.427451
1.0,2,24.439382
1.0,2,24.452621
2.0,3,24.540999
1.0,2,24.549887
1.0,2,24.557849
0,2,24.564927
1.0,2,24.573441
2.0,3,24.585748
2.0,3,24.595617
0,2,24.604141
1.0,2,24.67627
0,2,24.685597
2.0,3,24.697569
0,2,24.707397
2.0,3,24.721729
1.0,2,24.729947
0,2,24.739094
0,2,24.746479
0,2,24.754165
0,2,24.832756
0,2,24.839276
2.0,3,24.85031
2.0,3,24.862306
3.0,4,24.877216
0,2,24.885952
0,2,24.895216
3.0,4,24.976268
3.0,4,24.994669
2.0,3,25.006597
0,2,25.01526
0,2,25.02237
3.0,4,25.039281
0,2,25.0475
2.0,3,25.126748
0,2,25.132807
1.0,2,25.138666
0,2,25.144953
1.0,2,25.153312
2.0,3,25.167296
0,2,25.176731
1.0,2,25.187531
1.0,2,25.196162
3.0,4,25.28723
2.0,3,25.299278
0,2,25.307483
0,2,25.314958
0,2,25.321967
0,2,25.328662
1.0,2,25.336896
1.0,2,25.345331
1.0,2,25.353033
1.0,2,25.441468
2.0,3,25.451405
0,2,25.459421
6.0,7,25.487982
4.0,5,25.511163
3.0,4,25.592602
2.0,3,25.603189
0,2,25.614784
3.0,4,25.639077
0,2,25.649987
0,2,25.658548
0,2,25.666018
1.0,2,25.674627
0,2,25.756744
0,2,25.763439
1.0,2,25.770119
2.0,3,25.782751
5.0,6,25.802118
0,2,25.810228
2.0,3,25.820549
4.0,5,25.920989
0,2,25.93066
3.0,4,25.95016
1.0,2,25.958746
1.0,2,25.96702
0,2,25.974672
0,2,25.983148
3.0,4,26.058474
0,2,26.064311
1.0,2,26.079213
1.0,2,26.08753
1.0,2,26.098918
0,2,26.107405
3.0,4,26.126734
3.0,4,26.144661
0,2,26.22666
1.0,2,26.233354
3.0,4,26.247372
2.0,3,26.259416
6.0,7,26.287636
1.0,2,26.297277
4.0,5,26.383392
0,2,26.395092
0,2,26.402289
0,2,26.411607
0,2,26.422373
0,2,26.430666
0,2,26.438801
1.0,2,26.447331
0,2,26.529315
2.0,3,26.539601
0,2,26.552009
4.0,5,26.572005
1.0,2,26.579406
1.0,2,26.587919
5.0,6,26.68684
0,2,26.692068
0,2,26.699852
1.0,2,26.707297
1.0,2,26.713593
1.0,2,26.720665
1.0,2,26.729014
0,2,26.737117
0,2,26.747847
1.0,2,26.756298
0,2,26.838561
2.0,3,26.84993
2.0,3,26.864553
4.0,5,26.884059
0,2,26.892063
0,2,26.90049
1.0,2,26.908365
1.0,2,26.914699
3.0,4,26.993666
2.0,3,27.009821
1.0,2,27.018608
0,2,27.0259
2.0,3,27.037726
1.0,2,27.043945
2.0,3,27.056115
0,2,27.134405
4.0,5,27.149028
3.0,4,27.163238
0,2,27.171533
0,2,27.186547
